Fighter,Wins,Losses,Stance,Weight Class,Total Rounds Fought,Title fights,KOs,Submissions,TKO/DoctorStoppage,age,Gender,Height,Weight,Reach,WinRate
Carlos Prates,4,0,Switch,Welterweight,7,0,4,0,0,31,MALE,185.42,170,198.12,1.0
Dylan Andrews,2,2,Switch,Middleweight,7,0,2,0,0,35,MALE,185.42,185,185.42,0.5
Yohan Lainesse,2,2,Orthodox,Welterweight,7,0,1,0,0,31,MALE,185.42,170,193.04,0.5
Blake Bilder,2,1,Switch,Featherweight,7,0,0,1,0,33,MALE,172.72,145,172.72,0.667
Junior Albini,1,3,Orthodox,Heavyweight,7,0,1,0,0,28,MALE,190.5,264,187.96,0.25
Rhys Mckee,0,3,Orthodox,Welterweight,7,0,0,0,0,30,MALE,187.96,170,198.12,0.0
Juan Adams,1,2,Orthodox,Heavyweight,7,0,1,0,0,28,MALE,195.58,265,203.2,0.333
Richie Vaculik,1,2,Orthodox,Flyweight,7,0,0,0,0,32,MALE,167.64,125,175.26,0.333
Josh Grispi,0,3,Orthodox,Featherweight,7,0,0,0,0,24,MALE,180.34,145,187.96,0.0
Mounir Lazzez,2,1,Orthodox,Welterweight,7,0,0,0,0,35,MALE,185.42,170,193.04,0.667
Kron Gracie,1,2,Southpaw,Featherweight,7,0,0,1,0,36,MALE,175.26,145,177.8,0.333
Devin Powell,1,2,Orthodox,Lightweight,7,0,1,0,0,30,MALE,182.88,155,185.42,0.333
Chelsea Chandler,2,1,Southpaw,Women's Bantamweight,7,0,1,0,0,33,FEMALE,172.72,135,172.72,0.667
Tor Troeng,1,2,Orthodox,Middleweight,7,0,0,1,0,31,MALE,187.96,185,195.58,0.333
Muin Gafurov,0,3,Southpaw,Bantamweight,7,0,0,0,0,28,MALE,170.18,135,172.72,0.0
Will Brooks,1,2,Orthodox,Lightweight,7,0,0,0,0,31,MALE,177.8,155,182.88,0.333
Tiago Trator,2,1,Orthodox,Featherweight,7,0,0,0,0,29,MALE,175.26,145,177.8,0.667
Yosdenis Cedeno,1,2,Orthodox,Lightweight,7,0,0,0,1,30,MALE,172.72,155,175.26,0.333
Viktoriia Dudakova,3,0,Orthodox,Women's Strawweight,7,0,1,0,0,25,FEMALE,165.1,115,170.18,1.0
Tamires Vidal,1,2,Orthodox,Women's Bantamweight,7,0,1,0,0,26,FEMALE,167.64,135,172.72,0.333
Khadis Ibragimov,0,3,Orthodox,Light Heavyweight,7,0,0,0,0,25,MALE,190.5,205,198.12,0.0
Suyoung You,2,0,Orthodox,Bantamweight,6,0,0,0,0,28,MALE,167.64,135,165.1,1.0
Bruno Santos,1,1,Orthodox,Middleweight,6,0,0,0,0,27,MALE,175.26,185,175.26,0.5
Bubba Mcdaniel,1,1,Southpaw,Middleweight,6,0,0,1,0,30,MALE,190.5,185,190.5,0.5
Jamey-Lyn Horth,1,1,Orthodox,Women's Flyweight,6,0,0,0,0,34,FEMALE,170.18,125,167.64,0.5
Adam Fugitt,1,2,Southpaw,Welterweight,6,0,1,0,0,35,MALE,185.42,170,195.58,0.333
Aaron Rosa,1,1,Orthodox,Light Heavyweight,6,0,0,0,0,28,MALE,193.04,205,198.12,0.5
Shi Ming,2,0,Orthodox,Women's Strawweight,6,0,0,0,0,30,FEMALE,157.48,115,152.4,1.0
Norifumi Yamamoto,0,2,Southpaw,Bantamweight,6,0,0,0,0,34,MALE,162.56,135,167.64,0.0
Caolan Loughran,1,1,Orthodox,Bantamweight,6,0,0,0,0,28,MALE,167.64,135,172.72,0.5
Bo Nickal,5,0,Southpaw,Middleweight,6,0,1,4,0,28,MALE,185.42,185,193.04,1.0
Abu Azaitar,1,1,Orthodox,Middleweight,6,0,0,0,0,37,MALE,175.26,185,193.04,0.5
Rachael Ostovich,1,2,Orthodox,Women's Flyweight,6,0,0,1,0,29,FEMALE,160.02,125,157.48,0.333
Su Mudaerji,2,1,Southpaw,Flyweight,6,0,1,0,0,25,MALE,172.72,125,182.88,0.667
Curt Warburton,1,1,Orthodox,Lightweight,6,0,0,0,0,30,MALE,182.88,155,185.42,0.5
Cole Smith,1,1,Orthodox,Bantamweight,6,0,0,0,0,31,MALE,180.34,135,170.18,0.5
Brian Bowles,2,1,Orthodox,Bantamweight,6,0,0,1,0,32,MALE,170.18,135,177.8,0.667
Brian Foster,2,2,Orthodox,Welterweight,6,0,2,0,0,26,MALE,175.26,170,180.34,0.5
Cung Le,2,1,Southpaw,Middleweight,6,0,1,0,0,42,MALE,175.26,185,175.26,0.667
Sultan Aliev,1,2,Orthodox,Welterweight,6,0,0,0,0,34,MALE,180.34,170,187.96,0.333
Stanislav Nedkov,1,2,Orthodox,Light Heavyweight,6,0,1,0,0,33,MALE,180.34,205,180.34,0.333
Pawel Pawlak,1,1,Orthodox,Welterweight,6,0,0,0,0,26,MALE,182.88,170,185.42,0.5
Connor Matthews,1,1,Switch,Featherweight,6,0,0,0,0,31,MALE,172.72,145,180.34,0.5
Alberto Mina,3,0,Orthodox,Welterweight,6,0,2,0,0,36,MALE,182.88,170,195.58,1.0
Ramona Pascual,0,2,Southpaw,Women's Featherweight,6,0,0,0,0,34,FEMALE,170.18,135,167.64,0.0
Mizuki,1,1,Orthodox,Women's Strawweight,6,0,0,0,0,29,FEMALE,160.02,115,165.1,0.5
Saidyokub Kakhramonov,2,0,Orthodox,Bantamweight,6,0,0,1,0,27,MALE,172.72,135,175.26,1.0
Ricardo Funch,0,3,Southpaw,Welterweight,6,0,0,0,0,31,MALE,177.8,170,193.04,0.0
Ruslan Magomedov,2,0,Orthodox,Heavyweight,6,0,0,0,0,28,MALE,190.5,242,198.12,1.0
Royston Wee,2,0,Orthodox,Bantamweight,6,0,0,0,0,28,MALE,170.18,135,170.18,1.0
Austen Lane,1,3,Orthodox,Heavyweight,6,0,1,0,0,36,MALE,198.12,245,203.2,0.25
Andreas Michailidis,1,2,Orthodox,Middleweight,6,0,0,0,0,33,MALE,182.88,185,193.04,0.333
Andy Enz,0,2,Orthodox,Middleweight,6,0,0,0,0,23,MALE,190.5,185,198.12,0.0
Angela Magana,0,2,Orthodox,Women's Strawweight,6,0,0,0,0,34,FEMALE,154.94,115,165.1,0.0
Mike Ricci,1,1,Southpaw,Lightweight,6,1,0,0,0,27,MALE,182.88,155,195.58,0.5
Rolando Bedoya,0,2,Orthodox,Lightweight,6,0,0,0,0,27,MALE,180.34,155,187.96,0.0
Rinya Nakamura,4,0,Southpaw,Bantamweight,6,1,2,1,0,28,MALE,170.18,135,172.72,1.0
Anton Kuivanen,1,1,Orthodox,Lightweight,6,0,0,0,0,28,MALE,172.72,155,182.88,0.5
Rob Broughton,1,1,Orthodox,Heavyweight,6,0,0,1,0,28,MALE,187.96,265,187.96,0.5
Rodney Wallace,0,2,Switch,Light Heavyweight,6,0,0,0,0,28,MALE,175.26,205,182.88,0.0
Cheyanne Buys,1,1,Switch,Women's Strawweight,6,0,0,0,0,26,FEMALE,160.02,115,160.02,0.5
Talita Alencar,1,0,Orthodox,Women's Strawweight,6,0,0,0,0,33,FEMALE,154.94,115,147.32,1.0
Saimon Oliveira,1,1,Orthodox,Bantamweight,6,0,0,0,0,31,MALE,162.56,135,182.88,0.5
Mike Rhodes,0,2,Orthodox,Welterweight,6,0,0,0,0,25,MALE,185.42,170,187.96,0.0
Shane Carwin,4,1,Orthodox,Heavyweight,6,2,4,0,0,36,MALE,187.96,265,203.2,0.8
Nick Pace,1,1,Orthodox,Bantamweight,6,0,0,1,0,24,MALE,170.18,135,172.72,0.5
Bassil Hafez,1,1,Orthodox,Welterweight,6,0,0,0,0,32,MALE,180.34,170,182.88,0.5
Rayanne Dos Santos,0,2,Orthodox,Women's Strawweight,6,0,0,0,0,29,FEMALE,157.48,115,157.48,0.0
Alan Baudot,0,2,Orthodox,Heavyweight,6,0,0,0,0,34,MALE,190.5,243,200.66,0.0
Mickael Lebout,1,1,Orthodox,Lightweight,6,0,0,0,0,28,MALE,180.34,155,185.42,0.5
Shamar Bailey,1,1,Southpaw,Lightweight,6,0,0,0,0,29,MALE,175.26,155,190.5,0.5
Christian Morecraft,1,2,Orthodox,Heavyweight,6,0,0,1,0,25,MALE,198.12,260,205.74,0.333
Seungguk Choi,2,0,Orthodox,Flyweight,6,0,0,0,0,26,MALE,167.64,125,162.56,1.0
Yui Chul Nam,1,1,Orthodox,Featherweight,6,0,0,0,0,34,MALE,175.26,145,175.26,0.5
Salim Touahri,0,2,Orthodox,Welterweight,6,0,0,0,0,29,MALE,177.8,170,182.88,0.0
Rei Tsuruya,3,0,Orthodox,Flyweight,6,1,1,1,0,22,MALE,167.64,125,172.72,1.0
Sergey Khandozhko,1,1,Orthodox,Welterweight,6,0,0,0,0,29,MALE,185.42,170,187.96,0.5
Christian Colombo,0,2,Orthodox,Heavyweight,6,0,0,0,0,37,MALE,195.58,265,203.2,0.0
Alex Nicholson,1,2,Orthodox,Middleweight,6,0,1,0,0,27,MALE,193.04,185,205.74,0.333
Saparbeg Safarov,1,2,Orthodox,Middleweight,6,0,0,0,0,33,MALE,185.42,205,198.12,0.333
Nazim Sadykhov,2,0,Southpaw,Lightweight,6,0,2,0,0,29,MALE,177.8,155,175.26,1.0
Alexandra Albu,2,1,Orthodox,Women's Strawweight,6,0,0,1,0,29,FEMALE,157.48,115,160.02,0.667
Tereza Bleda,1,1,Orthodox,Women's Flyweight,6,0,0,0,0,21,FEMALE,175.26,125,180.34,0.5
Jamie Moyle,1,1,Orthodox,Women's Strawweight,6,0,0,0,0,29,FEMALE,154.94,115,165.1,0.5
Eddie Gordon,1,2,Orthodox,Middleweight,6,1,1,0,0,31,MALE,182.88,185,193.04,0.333
Lara Procopio,1,1,Orthodox,Women's Flyweight,6,0,0,0,0,25,FEMALE,162.56,125,170.18,0.5
Geraldo De Freitas,1,1,Orthodox,Bantamweight,6,0,0,0,0,29,MALE,170.18,135,182.88,0.5
Ian Loveland,1,1,Orthodox,Featherweight,6,0,0,0,0,27,MALE,172.72,145,177.8,0.5
Jocelyn Jones-Lybarger,0,2,Orthodox,Women's Strawweight,6,0,0,0,0,31,FEMALE,170.18,115,162.56,0.0
Marcio Alexandre Junior,0,2,Southpaw,Welterweight,6,1,0,0,0,26,MALE,182.88,185,190.5,0.0
Eduarda Moura,2,1,Orthodox,Women's Strawweight,6,0,1,1,0,30,FEMALE,167.64,125,167.64,0.667
Tresean Gore,1,2,Switch,Middleweight,6,0,0,1,0,30,MALE,182.88,185,190.5,0.333
Genaro Valdez,1,2,Orthodox,Lightweight,6,0,1,0,0,31,MALE,175.26,155,182.88,0.333
Kevin Souza,3,0,Orthodox,Featherweight,6,0,2,0,0,31,MALE,182.88,145,187.96,1.0
Tristan Connelly,1,1,Orthodox,Featherweight,6,0,0,0,0,36,MALE,177.8,145,172.72,0.5
Josh Stansbury,1,1,Orthodox,Light Heavyweight,6,0,0,0,0,32,MALE,187.96,205,187.96,0.5
Mario Miranda,1,2,Orthodox,Middleweight,6,0,1,0,0,31,MALE,190.5,185,187.96,0.333
Irwin Rivera,1,1,Southpaw,Bantamweight,6,0,0,0,0,31,MALE,167.64,135,167.64,0.5
Ismael Bonfim,2,1,Orthodox,Lightweight,6,0,1,0,0,28,MALE,172.72,155,180.34,0.667
Joshua Sampo,1,2,Orthodox,Flyweight,6,0,0,1,0,30,MALE,162.56,125,162.56,0.333
Domingo Pilarte,1,1,Southpaw,Bantamweight,6,0,0,1,0,31,MALE,182.88,135,185.42,0.5
Jhonata Diniz,3,0,Orthodox,Heavyweight,6,0,2,0,0,33,MALE,193.04,254,200.66,1.0
Estevan Payan,0,2,Orthodox,Featherweight,6,0,0,0,0,32,MALE,177.8,145,182.88,0.0
Marcelo Rojo,0,2,Orthodox,Featherweight,6,0,0,0,0,34,MALE,172.72,145,180.34,0.0
Valmir Lazaro,1,1,Orthodox,Lightweight,6,0,0,0,0,30,MALE,182.88,155,185.42,0.5
Mandy Bohm,0,2,Orthodox,Women's Flyweight,6,0,0,0,0,33,FEMALE,170.18,125,180.34,0.0
Ernest Chavez,1,1,Orthodox,Lightweight,6,0,0,0,0,31,MALE,172.72,145,177.8,0.5
Heili Alateng,2,0,Orthodox,Bantamweight,6,0,0,0,0,28,MALE,165.1,135,168.91,1.0
David Michaud,1,1,Orthodox,Lightweight,6,0,0,0,0,26,MALE,175.26,155,182.88,0.5
Henry Martinez,1,1,Southpaw,Lightweight,6,0,0,0,0,29,MALE,170.18,155,172.72,0.5
John Gunderson,1,1,Orthodox,Lightweight,6,0,0,0,0,31,MALE,175.26,155,175.26,0.5
Heather Jo Clark,1,1,Orthodox,Women's Strawweight,6,0,0,0,0,36,FEMALE,167.64,115,162.56,0.5
Darrius Flowers,1,2,Orthodox,Welterweight,6,0,0,1,0,29,MALE,175.26,155,180.34,0.333
Jonathan Wilson,1,2,Southpaw,Light Heavyweight,6,0,1,0,0,30,MALE,187.96,205,190.5,0.333
Darian Weeks,0,2,Orthodox,Welterweight,6,0,0,0,0,28,MALE,180.34,170,182.88,0.0
Greg Soto,1,1,Orthodox,Welterweight,6,0,0,0,0,24,MALE,180.34,170,185.42,0.5
Erick Montano,1,1,Orthodox,Welterweight,6,1,0,0,0,30,MALE,182.88,170,185.42,0.5
Timmy Cuamba,1,1,Orthodox,Featherweight,6,0,0,0,0,25,MALE,175.26,145,180.34,0.5
Kevin Borjas,1,1,Orthodox,Flyweight,6,0,0,0,0,26,MALE,165.1,125,172.72,0.5
Glaico Franca,1,1,Orthodox,Lightweight,6,1,0,1,0,25,MALE,182.88,155,195.58,0.5
Luigi Vendramini,1,2,Orthodox,Lightweight,6,0,1,0,0,25,MALE,172.72,170,185.42,0.333
Daichi Abe,1,1,Orthodox,Welterweight,6,0,0,0,0,26,MALE,180.34,170,180.34,0.5
Ivana Petrovic,1,1,Southpaw,Women's Flyweight,6,0,0,1,0,30,FEMALE,172.72,125,177.8,0.5
Mads Burnell,1,1,Orthodox,Featherweight,6,0,0,0,0,24,MALE,172.72,145,175.26,0.5
Khama Worthy,2,2,Orthodox,Lightweight,6,0,1,1,0,35,MALE,180.34,155,187.96,0.5
Todd Duffee,3,1,Orthodox,Heavyweight,6,0,3,0,0,29,MALE,190.5,260,200.66,0.75
Francisco Trevino,1,1,Orthodox,Lightweight,6,0,0,0,0,33,MALE,175.26,155,177.8,0.5
Jeff Hougland,1,1,Orthodox,Bantamweight,6,0,0,0,0,34,MALE,170.18,135,172.72,0.5
Donghun Choi,2,0,Switch,Flyweight,6,0,0,0,0,25,MALE,165.1,125,167.64,1.0
Jeff Curran,0,2,Orthodox,Bantamweight,6,0,0,0,0,34,MALE,167.64,135,175.26,0.0
Daniel Spitz,1,2,Orthodox,Heavyweight,6,0,1,0,0,29,MALE,200.66,245,208.28,0.333
Jean Silva,3,0,Orthodox,Lightweight,6,0,2,0,0,27,MALE,170.18,145,175.26,1.0
Elvis Mutapcic,0,2,Orthodox,Middleweight,6,0,0,0,0,30,MALE,182.88,185,182.88,0.0
Martin Bravo,1,2,Southpaw,Featherweight,6,1,1,0,0,26,MALE,172.72,145,180.34,0.333
Jason Miller,0,2,Orthodox,Middleweight,6,0,0,0,0,31,MALE,185.42,185,182.88,0.0
Tiequan Zhang,1,2,Orthodox,Lightweight,6,0,0,1,0,34,MALE,172.72,155,177.8,0.333
Jarjis Danho,0,1,Orthodox,Heavyweight,6,0,0,0,0,37,MALE,190.5,265,187.96,0.0
Kiru Sahota,2,0,Orthodox,Flyweight,6,0,0,0,0,29,MALE,177.8,125,185.42,1.0
Kamal Shalorus,0,2,Orthodox,Lightweight,6,0,0,0,0,39,MALE,172.72,155,172.72,0.0
Vagner Rocha,1,2,Orthodox,Lightweight,6,0,0,1,0,32,MALE,177.8,155,185.42,0.333
Felipe Dos Santos,1,1,Orthodox,Flyweight,6,0,0,0,0,23,MALE,170.18,125,177.8,0.5
Masanori Kanehara,1,1,Orthodox,Bantamweight,6,0,0,0,0,33,MALE,170.18,135,170.18,0.5
Jumabieke Tuerxun,0,2,Orthodox,Bantamweight,6,0,0,0,0,28,MALE,170.18,135,170.18,0.0
Jesse Lennox,1,1,Orthodox,Welterweight,6,0,0,0,1,28,MALE,175.26,170,182.88,0.5
Juliana Miller,1,1,Orthodox,Women's Flyweight,6,0,1,0,0,27,FEMALE,170.18,125,167.64,0.5
Jacqueline Cavalcanti,2,0,Orthodox,Women's Bantamweight,6,0,0,0,0,27,FEMALE,172.72,135,177.8,1.0
Bea Malecki,2,0,Orthodox,Women's Bantamweight,5,0,0,1,0,29,FEMALE,175.26,135,187.96,1.0
Victor Hugo,2,0,Orthodox,Featherweight,5,0,0,1,0,31,MALE,170.18,135,180.34,1.0
Dylan Budka,1,1,Switch,Middleweight,5,0,0,0,0,24,MALE,182.88,185,190.5,0.5
Roque Martinez,0,2,Orthodox,Heavyweight,5,0,0,0,0,35,MALE,177.8,250,182.88,0.0
Vik Grujic,1,2,Orthodox,Welterweight,5,0,1,0,0,38,MALE,180.34,170,185.42,0.333
Teemu Packalen,1,2,Orthodox,Lightweight,5,0,0,1,0,32,MALE,185.42,155,182.88,0.333
Hans Stringer,1,1,Orthodox,Light Heavyweight,5,0,0,0,0,28,MALE,190.5,205,185.42,0.5
Nora Cornolle,2,0,Orthodox,Women's Bantamweight,5,0,1,0,0,34,FEMALE,170.18,135,170.18,1.0
Hector Aldana,0,2,Orthodox,Welterweight,5,0,0,0,0,31,MALE,180.34,170,182.88,0.0
Ronaldo Rodriguez,1,1,Orthodox,Flyweight,5,0,0,1,0,25,MALE,167.64,125,165.1,0.5
Caludio Puelles,1,1,Southpaw,Lightweight,5,0,0,1,0,23,MALE,180.34,155,182.88,0.5
Reginaldo Vieira,1,1,Orthodox,Bantamweight,5,1,0,0,0,34,MALE,170.18,135,165.1,0.5
Kai Kamaka,1,1,Orthodox,Featherweight,5,0,0,0,0,26,MALE,170.18,145,175.26,0.5
Gadzhimurad Antigulov,2,3,Orthodox,Light Heavyweight,5,0,0,2,0,33,MALE,180.34,205,177.8,0.4
Toshiomi Kazama,1,2,Orthodox,Bantamweight,5,1,0,0,0,27,MALE,170.18,135,175.26,0.333
Justin Lawrence,1,1,Orthodox,Featherweight,5,0,1,0,0,22,MALE,172.72,145,170.18,0.5
Hector Sandoval,2,1,Orthodox,Flyweight,5,0,1,0,0,31,MALE,157.48,125,162.56,0.667
Anshul Jubli,2,0,Switch,Lightweight,5,1,1,0,0,28,MALE,182.88,155,175.26,1.0
Gabriel Bonfim,3,1,Orthodox,Welterweight,5,0,0,3,0,26,MALE,185.42,170,182.88,0.75
Nicco Montano,1,0,Southpaw,Women's Flyweight,5,1,0,0,0,30,FEMALE,165.1,125,165.1,1.0
Gaston Bolanos,1,1,Orthodox,Bantamweight,5,0,0,0,0,32,MALE,170.18,135,175.26,0.5
Luana Santos,3,0,Orthodox,Women's Flyweight,5,0,1,1,0,24,FEMALE,167.64,125,170.18,1.0
Bobby Moffett,1,1,Orthodox,Featherweight,5,0,0,1,0,29,MALE,177.8,145,185.42,0.5
Nadia Kassem,1,1,Southpaw,Women's Flyweight,5,0,0,0,0,23,FEMALE,165.1,125,167.64,0.5
Kanako Murata,1,1,Orthodox,Women's Strawweight,5,0,0,0,0,30,FEMALE,154.94,115,157.48,0.5
Vinicius Moreira,1,3,Orthodox,Light Heavyweight,5,0,0,1,0,31,MALE,193.04,205,193.04,0.25
Charles Radtke,2,1,Orthodox,Welterweight,5,0,1,0,0,34,MALE,175.26,170,182.88,0.667
Myktybek Orolbai,2,0,Orthodox,Catch Weight,5,0,0,1,0,26,MALE,177.8,155,187.96,1.0
Gabriel Santos,0,2,Orthodox,Featherweight,5,0,0,0,0,27,MALE,175.26,145,177.8,0.0
Ken Stone,2,1,Orthodox,Bantamweight,5,0,0,1,0,29,MALE,172.72,135,180.34,0.667
Liang Na,0,3,Orthodox,Women's Flyweight,5,0,0,0,0,27,FEMALE,165.1,125,170.18,0.0
Roger Narvaez,1,1,Southpaw,Middleweight,5,0,0,0,0,31,MALE,190.5,185,200.66,0.5
Liana Jojua,1,2,Orthodox,Women's Flyweight,5,0,0,1,0,26,FEMALE,162.56,125,157.48,0.333
Wuliji Buren,0,2,Orthodox,Bantamweight,5,0,0,0,0,29,MALE,175.26,135,175.26,0.0
Brunno Ferreira,4,1,Orthodox,Middleweight,5,0,4,0,0,31,MALE,177.8,185,182.88,0.8
Mike Wilkinson,2,1,Orthodox,Featherweight,5,0,1,0,0,28,MALE,170.18,145,172.72,0.667
Edgar Garcia,0,3,Orthodox,Welterweight,5,0,0,0,0,31,MALE,177.8,170,180.34,0.0
Marcus Mcghee,3,0,Orthodox,Bantamweight,5,0,2,1,0,34,MALE,172.72,135,175.26,1.0
Brendson Ribeiro,1,2,Orthodox,Light Heavyweight,5,0,1,0,0,28,MALE,190.5,205,205.74,0.333
Clifford Starks,1,1,Orthodox,Middleweight,5,0,0,0,0,31,MALE,182.88,185,195.58,0.5
Mark Godbeer,2,1,Orthodox,Heavyweight,5,0,0,0,0,34,MALE,193.04,240,195.58,0.667
Brian Camozzi,0,2,Orthodox,Welterweight,5,0,0,0,0,26,MALE,187.96,170,198.12,0.0
Jim Crute,2,1,Orthodox,Light Heavyweight,5,0,1,1,0,23,MALE,187.96,205,187.96,0.667
Daniel Santos,1,1,Orthodox,Bantamweight,5,0,1,0,0,28,MALE,170.18,135,170.18,0.5
Cole Escovedo,0,2,Orthodox,Bantamweight,5,0,0,0,0,30,MALE,170.18,135,182.88,0.0
Marnic Mann,0,2,Southpaw,Women's Strawweight,5,0,0,0,0,31,FEMALE,152.4,115,162.56,0.0
Jerrod Sanders,1,2,Orthodox,Bantamweight,5,0,0,0,0,36,MALE,172.72,135,182.88,0.333
Collin Anglin,1,1,Orthodox,Featherweight,5,0,0,0,0,28,MALE,175.26,145,180.34,0.5
Sheldon Westcott,0,2,Southpaw,Welterweight,5,1,0,0,0,31,MALE,185.42,170,180.34,0.0
Melissa Mullins,1,1,Orthodox,Women's Bantamweight,5,0,0,0,0,33,FEMALE,170.18,135,172.72,0.5
Papy Abedi,1,2,Southpaw,Welterweight,5,0,0,0,0,35,MALE,180.34,185,187.96,0.333
Tom Niinimaki,1,2,Orthodox,Featherweight,5,0,0,0,0,32,MALE,175.26,145,175.26,0.333
Dan Moret,0,2,Southpaw,Lightweight,5,0,0,0,0,32,MALE,182.88,155,185.42,0.0
Adam Wieczorek,2,0,Orthodox,Heavyweight,5,0,0,1,0,26,MALE,195.58,250,205.74,1.0
Mateus Mendonca,1,2,Orthodox,Flyweight,5,0,1,0,0,25,MALE,167.64,125,180.34,0.333
Jean Matsumoto,2,0,Orthodox,Bantamweight,5,0,0,1,0,25,MALE,167.64,135,172.72,1.0
Cristian Quinonez,2,1,Orthodox,Bantamweight,5,0,1,0,0,27,MALE,172.72,135,177.8,0.667
Jake Lindsey,0,2,Switch,Lightweight,5,0,0,0,0,28,MALE,180.34,155,180.34,0.0
Patrick Williams,1,2,Orthodox,Bantamweight,5,0,0,1,0,36,MALE,172.72,135,185.42,0.333
Matt Dwyer,1,2,Orthodox,Welterweight,5,0,1,0,0,26,MALE,193.04,170,193.04,0.333
Cyril Asker,2,2,Orthodox,Heavyweight,5,0,1,1,0,32,MALE,182.88,247,187.96,0.5
Thomas Petersen,1,1,Southpaw,Heavyweight,5,0,0,1,0,29,MALE,185.42,264,187.96,0.5
Tom Duquesnoy,1,1,Orthodox,Bantamweight,5,0,1,0,0,24,MALE,170.18,135,172.72,0.5
Zelim Imadaev,0,2,Orthodox,Welterweight,5,0,0,0,0,25,MALE,182.88,170,193.04,0.0
Clay Harvison,1,1,Orthodox,Welterweight,5,0,0,0,0,31,MALE,185.42,170,187.96,0.5
Rashad Coulter,0,3,Orthodox,Heavyweight,5,0,0,0,0,36,MALE,180.34,205,193.04,0.0
Chris Tuchscherer,1,2,Orthodox,Heavyweight,5,0,0,0,0,35,MALE,187.96,258,193.04,0.333
Hu Yaozong,0,2,Orthodox,Middleweight,5,0,0,0,0,26,MALE,190.5,185,182.88,0.0
Mike Santiago,0,2,Orthodox,Featherweight,5,0,0,0,0,28,MALE,177.8,145,175.26,0.0
Mike Rio,1,2,Orthodox,Lightweight,5,0,0,1,0,32,MALE,177.8,155,180.34,0.333
Sasha Palatnikov,1,1,Switch,Welterweight,5,0,1,0,0,32,MALE,185.42,170,182.88,0.5
Humberto Bandenay,1,2,Southpaw,Featherweight,5,0,1,0,0,24,MALE,180.34,145,181.61,0.333
Joachim Christensen,1,1,Orthodox,Light Heavyweight,5,0,1,0,0,38,MALE,190.5,205,193.04,0.5
Zarah Fairn,0,3,Orthodox,Catch Weight,5,0,0,0,0,39,MALE,172.72,135,182.88,0.0
Hyder Amil,2,0,Switch,Featherweight,5,0,1,0,0,34,MALE,175.26,145,177.8,1.0
Hyunsung Park,3,0,Orthodox,Flyweight,5,1,1,2,0,28,MALE,170.18,125,167.64,1.0
John Cholish,1,1,Orthodox,Lightweight,5,0,1,0,0,29,MALE,180.34,155,182.88,0.5
Sarah Alpar,1,1,Southpaw,Women's Flyweight,5,0,0,1,0,30,FEMALE,162.56,135,160.02,0.5
Chris Fishgold,1,2,Orthodox,Featherweight,5,0,0,1,0,28,MALE,172.72,145,172.72,0.333
Mike Jackson,1,1,Orthodox,Welterweight,5,0,0,0,0,37,MALE,187.96,170,187.96,0.5
Mike Guymon,1,2,Orthodox,Welterweight,5,0,0,0,0,36,MALE,182.88,170,187.96,0.333
Chris Dempsey,1,2,Orthodox,Light Heavyweight,5,0,0,0,0,28,MALE,177.8,185,182.88,0.333
Alen Amedovski,0,3,Orthodox,Middleweight,5,0,0,0,0,34,MALE,177.8,185,187.96,0.0
Marcos Vinicius,1,1,Orthodox,Flyweight,5,0,1,0,0,33,MALE,175.26,125,177.8,0.5
Danny Henry,2,1,Orthodox,Featherweight,5,0,0,1,0,31,MALE,182.88,145,185.42,0.667
Chris De La Rocha,1,2,Orthodox,Heavyweight,5,0,1,0,0,39,MALE,190.5,250,203.2,0.333
Kalindra Faria,0,2,Switch,Women's Flyweight,4,0,0,0,0,32,FEMALE,170.18,125,157.0,0.0
Benny Alloway,1,1,Orthodox,Welterweight,4,0,1,0,0,32,MALE,180.34,170,190.5,0.5
Raphael Pessoa,1,1,Orthodox,Heavyweight,4,0,0,0,0,31,MALE,190.5,262,198.12,0.5
Ketlen Souza,1,1,Orthodox,Women's Strawweight,4,0,0,0,0,30,FEMALE,160.02,115,160.02,0.5
Kevin Natividad,0,2,Orthodox,Bantamweight,4,0,0,0,0,29,MALE,167.64,135,177.8,0.0
Victor Martinez,1,1,Orthodox,Lightweight,4,0,0,0,0,32,MALE,172.72,155,177.8,0.5
Bolaji Oki,2,0,Orthodox,Lightweight,4,0,1,0,0,28,MALE,177.8,155,185.42,1.0
Paul Sass,3,1,Orthodox,Lightweight,4,0,0,3,0,24,MALE,182.88,155,185.42,0.75
Bobby Nash,0,2,Orthodox,Welterweight,4,0,0,0,0,27,MALE,182.88,170,187.96,0.0
Yanal Ashmouz,1,1,Orthodox,Lightweight,4,0,1,0,0,29,MALE,175.26,155,175.26,0.5
Kevin Jousset,2,0,Orthodox,Welterweight,4,0,0,1,0,31,MALE,187.96,170,190.5,1.0
Blood Diamond,0,2,Switch,Welterweight,4,0,0,0,0,35,MALE,180.34,170,193.04,0.0
Erik Silva,1,1,Orthodox,Featherweight,4,0,1,0,0,36,MALE,175.26,145,180.34,0.5
Fabio Cherant,0,3,Southpaw,Light Heavyweight,4,0,0,0,0,27,MALE,185.42,205,187.96,0.0
Bojan Mihajlovic,0,2,Orthodox,Light Heavyweight,4,0,0,0,0,37,MALE,180.34,205,185.42,0.0
Matt Hobar,1,1,Southpaw,Bantamweight,4,0,0,0,0,27,MALE,177.8,135,177.8,0.5
