Fighter,Wins,Losses,Stance,Weight Class,Total Rounds Fought,Title fights,KOs,Submissions,TKO/DoctorStoppage,age,Gender,Height,Weight,Reach,WinRate
Vincente Luque,9,2,Orthodox,Welterweight,13,0,6,3,0,27,MALE,180.34,170,190.5,0.818
Zabit Magomedsharipov,5,0,Orthodox,Featherweight,13,0,0,3,0,28,MALE,185.42,145,185.42,1.0
David Dvorak,3,2,Orthodox,Flyweight,13,0,0,1,0,31,MALE,165.1,125,172.72,0.6
Damian Stasiak,2,3,Orthodox,Bantamweight,13,0,0,2,0,28,MALE,165.1,135,177.8,0.4
Vitor Petrino,5,0,Orthodox,Light Heavyweight,13,0,2,1,0,26,MALE,187.96,205,195.58,1.0
Edwin Figueroa,2,3,Orthodox,Bantamweight,13,0,1,0,0,29,MALE,170.18,135,175.26,0.4
Dennis Buzukja,2,3,Switch,Lightweight,13,0,1,0,0,26,MALE,175.26,145,177.8,0.4
Felicia Spencer,2,3,Orthodox,Women's Featherweight,13,1,1,1,0,30,FEMALE,167.64,145,172.72,0.4
Cyrille Diabate,4,3,Southpaw,Light Heavyweight,13,0,1,1,0,40,MALE,198.12,205,205.74,0.571
Da'Mon Blackshear,2,3,Switch,Bantamweight,13,0,1,1,0,30,MALE,177.8,135,182.88,0.4
Wu Yanan,1,4,Orthodox,Women's Bantamweight,13,0,0,1,0,26,FEMALE,172.72,135,167.64,0.2
Ronny Markes,3,1,Orthodox,Middleweight,12,0,0,0,0,25,MALE,185.42,185,190.5,0.75
Jordan Griffin,2,3,Southpaw,Featherweight,12,0,0,2,0,31,MALE,177.8,145,185.42,0.4
Shane Roller,2,3,Orthodox,Lightweight,12,0,1,0,0,33,MALE,177.8,155,182.88,0.4
Maheshate,3,2,Orthodox,Lightweight,12,0,1,0,0,24,MALE,182.88,155,180.34,0.6
Trevor Peek,3,2,Switch,Lightweight,12,0,2,0,0,29,MALE,175.26,155,177.8,0.6
Kai Kara France,3,1,Orthodox,Flyweight,12,0,0,0,0,26,MALE,162.56,125,175.26,0.75
Danielle Taylor,2,2,Orthodox,Women's Strawweight,12,0,0,0,0,28,FEMALE,152.4,115,152.4,0.5
Jesse Ronson,0,4,Southpaw,Lightweight,12,0,0,0,0,36,MALE,177.8,155,182.88,0.0
Joe Pyfer,4,2,Orthodox,Middleweight,12,0,3,1,0,27,MALE,187.96,185,190.5,0.667
Xiao Long,2,2,Orthodox,Bantamweight,12,0,0,0,0,26,MALE,172.72,135,177.8,0.5
Nicolae Negumereanu,4,1,Orthodox,Light Heavyweight,12,0,2,0,0,28,MALE,182.88,205,198.12,0.8
Michinori Tanaka,2,2,Orthodox,Bantamweight,12,0,0,0,0,26,MALE,165.1,135,170.18,0.5
Andre Fialho,2,4,Orthodox,Welterweight,12,0,2,0,0,29,MALE,182.88,170,187.96,0.333
Sean O'Connell,2,4,Orthodox,Light Heavyweight,12,0,2,0,0,33,MALE,185.42,205,187.96,0.333
Joel Alvarez,5,2,Orthodox,Lightweight,12,0,2,3,0,31,MALE,190.5,155,195.58,0.714
Bevon Lewis,3,2,Orthodox,Middleweight,12,0,2,0,0,29,MALE,190.5,185,200.66,0.6
Mike Massenzio,2,4,Southpaw,Middleweight,12,0,0,1,0,29,MALE,187.96,185,185.42,0.333
Karl Williams,4,0,Orthodox,Heavyweight,12,0,0,0,0,34,MALE,190.5,235,200.66,1.0
Mike Russow,4,1,Orthodox,Heavyweight,12,0,1,0,1,36,MALE,185.42,255,185.42,0.8
Tim Kennedy,3,1,Orthodox,Middleweight,12,0,1,0,0,37,MALE,180.34,185,187.96,0.75
Darrick Minner,2,4,Orthodox,Featherweight,12,0,0,1,0,32,MALE,170.18,145,175.26,0.333
Yizha,5,1,Orthodox,Featherweight,12,2,0,3,0,27,MALE,170.18,145,180.34,0.833
Carlos Felipe,3,1,Orthodox,Heavyweight,12,0,0,0,0,26,MALE,182.88,245,190.5,0.75
Marco Polo Reyes,4,3,Orthodox,Featherweight,12,0,3,0,0,34,MALE,180.34,155,180.34,0.571
Ryan Jimmo,3,3,Orthodox,Light Heavyweight,12,0,2,0,0,33,MALE,185.42,205,185.42,0.5
Johnny Munoz,2,3,Orthodox,Bantamweight,12,0,0,1,0,30,MALE,175.26,135,180.34,0.4
Ismail Naurdiev,2,2,Orthodox,Middleweight,12,0,0,0,0,32,MALE,177.8,185,187.96,0.5
Hannah Cifers,2,4,Orthodox,Women's Strawweight,12,0,0,0,0,28,FEMALE,154.94,115,157.48,0.333
Shayilan Nuerdanbieke,3,2,Orthodox,Featherweight,12,0,1,0,0,30,MALE,172.72,145,175.26,0.6
Gregor Gillespie,6,1,Orthodox,Lightweight,12,0,3,2,0,34,MALE,170.18,155,180.34,0.857
Terrance Mckinney,5,4,Switch,Lightweight,12,0,3,2,0,29,MALE,177.8,155,185.42,0.556
Riki Fukuda,2,2,Southpaw,Middleweight,12,0,0,0,0,32,MALE,182.88,185,185.42,0.5
Dan Argueta,1,2,Southpaw,Bantamweight,12,0,0,0,0,31,MALE,170.18,135,172.72,0.333
Jamal Pogues,3,1,Orthodox,Heavyweight,12,0,0,0,0,28,MALE,190.5,205,195.58,0.75
Khamzat Chimaev,7,0,Orthodox,Catch Weight,12,0,2,3,0,30,MALE,187.96,185,190.5,1.0
Themba Gorimbo,4,1,Orthodox,Welterweight,12,0,1,0,0,33,MALE,185.42,170,195.58,0.8
Sumudaerji,3,3,Southpaw,Flyweight,12,0,1,0,0,28,MALE,172.72,125,182.88,0.5
Tj Waldburger,4,3,Orthodox,Welterweight,12,0,0,3,0,25,MALE,180.34,170,190.5,0.571
Ricky Turcios,2,2,Orthodox,Bantamweight,12,0,0,0,0,31,MALE,175.26,135,180.34,0.5
Josh Fremd,2,3,Orthodox,Middleweight,12,0,0,1,0,30,MALE,193.04,185,193.04,0.4
Diego Lopes,4,2,Orthodox,Featherweight,12,0,2,1,0,29,MALE,180.34,145,182.88,0.667
Askar Askarov,3,0,Orthodox,Flyweight,12,0,0,0,0,29,MALE,167.64,125,170.18,1.0
Nate Maness,4,2,Orthodox,Flyweight,12,0,2,1,0,32,MALE,177.8,125,182.88,0.667
Natan Levy,3,1,Southpaw,Lightweight,12,0,0,1,0,32,MALE,175.26,155,180.34,0.75
Jared Hamman,2,4,Orthodox,Middleweight,12,0,1,0,0,31,MALE,190.5,185,190.5,0.333
Matthew Lopez,2,3,Southpaw,Bantamweight,12,0,1,0,0,31,MALE,170.18,135,175.26,0.4
Elias Silverio,3,1,Orthodox,Lightweight,12,0,0,1,0,28,MALE,180.34,155,185.42,0.75
Emily Ducote,2,2,Orthodox,Catch Weight,12,0,0,0,0,30,MALE,157.48,115,160.02,0.5
Luke Barnatt,3,2,Orthodox,Middleweight,12,0,1,1,0,27,MALE,198.12,185,195.58,0.6
Deron Winn,2,2,Orthodox,Catch Weight,12,0,0,0,0,33,MALE,167.64,185,177.8,0.5
Sheymon Moraes,2,2,Orthodox,Featherweight,12,0,0,0,0,28,MALE,172.72,145,182.88,0.5
Justin Tafa,4,3,Southpaw,Heavyweight,12,0,4,0,0,30,MALE,182.88,264,187.96,0.571
Peter Yan,5,0,Switch,Bantamweight,12,0,2,0,0,26,MALE,170.18,135,170.18,1.0
Takashi Sato,2,4,Southpaw,Welterweight,12,0,2,0,0,32,MALE,177.8,170,185.42,0.333
Daniel Roberts,3,3,Southpaw,Welterweight,12,0,0,2,0,31,MALE,177.8,170,187.96,0.5
Hyun Gyu Lim,3,3,Orthodox,Welterweight,12,0,3,0,0,32,MALE,190.5,170,195.58,0.5
Ben Nguyen,4,2,Switch,Flyweight,11,0,1,2,0,30,MALE,165.1,125,165.1,0.667
Austin Lingo,2,2,Orthodox,Featherweight,11,0,0,0,0,29,MALE,177.8,145,177.8,0.5
Scott Askham,2,3,Southpaw,Middleweight,11,0,2,0,0,28,MALE,190.5,185,190.5,0.4
Rich Attonito,3,1,Orthodox,Welterweight,11,0,1,0,0,34,MALE,177.8,170,182.88,0.75
Hugo Viana,3,2,Orthodox,Bantamweight,11,0,1,0,0,32,MALE,167.64,135,170.18,0.6
Mohammed Usman,3,1,Orthodox,Heavyweight,11,0,1,0,0,35,MALE,187.96,239,200.66,0.75
Rob Kimmons,3,3,Orthodox,Middleweight,11,0,0,2,0,30,MALE,177.8,185,185.42,0.5
John Alessio,0,4,Orthodox,Lightweight,11,1,0,0,0,33,MALE,177.8,155,182.88,0.0
Chris Beal,2,2,Orthodox,Bantamweight,11,0,1,0,0,30,MALE,170.18,125,175.26,0.5
Ramiz Brahimaj,2,3,Orthodox,Welterweight,11,0,0,2,0,31,MALE,177.8,170,182.88,0.4
Karlos Vemola,2,3,Orthodox,Middleweight,11,0,1,1,0,27,MALE,182.88,185,190.5,0.4
Dongi Yang,1,3,Southpaw,Middleweight,11,0,1,0,0,30,MALE,177.8,185,180.34,0.25
Batgerel Danaa,3,3,Orthodox,Bantamweight,11,0,3,0,0,33,MALE,170.18,135,177.8,0.5
Jordan Williams,1,3,Southpaw,Middleweight,11,0,1,0,0,31,MALE,185.42,185,190.5,0.25
Hannah Goldy,2,3,Orthodox,Women's Strawweight,11,0,0,1,0,31,FEMALE,162.56,115,154.94,0.4
David Mitchell,1,3,Orthodox,Welterweight,11,0,0,0,0,33,MALE,182.88,170,193.04,0.25
Antonio Arroyo,2,2,Orthodox,Middleweight,11,0,0,1,0,32,MALE,190.5,185,185.42,0.5
Gabe Green,2,2,Switch,Welterweight,11,0,1,0,0,30,MALE,177.8,155,185.42,0.5
Andre Winner,2,3,Orthodox,Lightweight,11,1,1,0,0,29,MALE,180.34,155,185.42,0.4
John Maguire,2,2,Southpaw,Welterweight,11,0,0,1,0,30,MALE,175.26,155,175.26,0.5
Garreth Mclellan,1,3,Southpaw,Middleweight,11,0,1,0,0,34,MALE,185.42,185,182.88,0.25
Ariane Carnelossi,2,2,Orthodox,Women's Strawweight,11,0,1,1,0,31,FEMALE,157.48,115,154.94,0.5
Bartosz Fabinski,3,2,Orthodox,Middleweight,11,0,0,0,0,34,MALE,182.88,170,190.5,0.6
Luiz Cane,4,4,Southpaw,Middleweight,11,0,3,0,0,31,MALE,187.96,185,195.58,0.5
